Channel,SFD,AttEn,SVDEn,Hjorth,Participant,Condition,Dataset
AF3,1.672063956715839,2.2633815150279,2.3105715981919737,1.5692258247685749,sub-010002,Eyes-Closed,Lemon
AF4,1.663561556376965,2.3844716600606684,2.309790483337546,1.5971102722281005,sub-010002,Eyes-Closed,Lemon
AF8,1.6703782722550153,2.2948313797610598,2.308236314240719,1.5882351622283484,sub-010002,Eyes-Closed,Lemon
F5,1.6888176312806542,2.1118156843050353,2.315985633166421,1.4846370429919147,sub-010002,Eyes-Closed,Lemon
F1,1.663358907994526,2.414290230991078,2.3146573458816637,1.5536623063936457,sub-010002,Eyes-Closed,Lemon
F2,1.6602337653760855,2.468928956273653,2.3129340200258484,1.5346247011749699,sub-010002,Eyes-Closed,Lemon
F6,1.6890874792678963,2.202862035957699,2.31034332615425,1.5079073725204135,sub-010002,Eyes-Closed,Lemon
FT7,1.6853658607038144,2.0947814175586204,2.3212956634809285,1.5266444825475631,sub-010002,Eyes-Closed,Lemon
FC3,1.6810666180462932,2.2385448785725286,2.3160568714762415,1.5324362762070043,sub-010002,Eyes-Closed,Lemon
FC4,1.671073356848753,2.414368479671574,2.304255736559628,1.5073255396446175,sub-010002,Eyes-Closed,Lemon
FT8,1.6798203303605153,2.2733758543313733,2.3161726143712063,1.6469956964982246,sub-010002,Eyes-Closed,Lemon
C5,1.6846906030616315,2.1486230381435494,2.310279831504528,1.4444054511212876,sub-010002,Eyes-Closed,Lemon
C1,1.6723180578263437,2.4108061964363094,2.3121757292383682,1.4620398070098055,sub-010002,Eyes-Closed,Lemon
C2,1.6677953601980793,2.429237137915565,2.3042041797156068,1.4298572519076873,sub-010002,Eyes-Closed,Lemon
C6,1.6683745095956275,2.4483236734463496,2.2862551921736687,1.5125240403182096,sub-010002,Eyes-Closed,Lemon
TP7,1.6771610136292898,2.401079142349926,2.303032127266605,1.604416263235946,sub-010002,Eyes-Closed,Lemon
CP3,1.6676771011241824,2.4683008378489135,2.2529492901862236,1.3682201906835028,sub-010002,Eyes-Closed,Lemon
CPz,1.6514887952768902,2.394376153935116,2.310352486660916,1.438161660072916,sub-010002,Eyes-Closed,Lemon
CP4,1.6584446191209934,2.4855792691608873,2.254881438506351,1.3317033137973895,sub-010002,Eyes-Closed,Lemon
TP8,1.6698200916919366,2.3498223032716945,2.3072620359004494,1.6030995720172385,sub-010002,Eyes-Closed,Lemon
P5,1.663482110520015,2.5304422144078655,2.2536034386366177,1.4176834699277103,sub-010002,Eyes-Closed,Lemon
P1,1.657119373535854,2.516067390055386,2.2684725416036216,1.3686985500237772,sub-010002,Eyes-Closed,Lemon
P2,1.6546769459547641,2.5197745111891603,2.2903579837857535,1.4180361602034106,sub-010002,Eyes-Closed,Lemon
P6,1.6485617913705122,2.5947012617590945,2.2737768407581216,1.477024128664343,sub-010002,Eyes-Closed,Lemon
PO7,1.6435952408005083,2.654757424961731,2.2484626903171443,1.4527048860926126,sub-010002,Eyes-Closed,Lemon
PO3,1.6501480859341904,2.6285617767209795,2.2607841112150533,1.4157068365667815,sub-010002,Eyes-Closed,Lemon
POz,1.6489159979189234,2.675696009666366,2.2747325945709806,1.5479571567913666,sub-010002,Eyes-Closed,Lemon
PO4,1.6490962041211321,2.661084916748375,2.277166714531184,1.53412581571102,sub-010002,Eyes-Closed,Lemon
PO8,1.6449083943526435,2.6246385119580045,2.2573716243258044,1.511272551902693,sub-010002,Eyes-Closed,Lemon
Fp1,1.7081579728696994,1.983325752225885,2.3188528754825466,1.3130521986752728,sub-010002,Eyes-Open,Lemon
Fp2,1.6821564888016205,2.1328039387041047,2.320866820228686,1.5597298113249962,sub-010002,Eyes-Open,Lemon
F7,1.6775047631685278,2.023247737098636,2.319208875766947,1.5936703812470652,sub-010002,Eyes-Open,Lemon
F3,1.6989873862375193,2.0649765476640396,2.3214174921850526,1.404254136564056,sub-010002,Eyes-Open,Lemon
Fz,1.6756187566774425,2.341003855480304,2.320529920964021,1.5847118370733566,sub-010002,Eyes-Open,Lemon
F4,1.6829666789773368,2.184356170565449,2.3211910900981394,1.493533913574523,sub-010002,Eyes-Open,Lemon
F8,1.6785419558308727,2.0615113912736858,2.3205710097228263,1.5379013775435932,sub-010002,Eyes-Open,Lemon
FC5,1.7105370837682643,1.8878013337764206,2.321389537686929,1.3101952187773336,sub-010002,Eyes-Open,Lemon
FC1,1.6750843236681243,2.3110624319716955,2.321418373086985,1.5687589511969071,sub-010002,Eyes-Open,Lemon
FC2,1.6769729427459037,2.335139698873908,2.3210677296109297,1.5571695815777273,sub-010002,Eyes-Open,Lemon
FC6,1.6791351670383177,2.1850609627562223,2.3205047029713244,1.5361173701551927,sub-010002,Eyes-Open,Lemon
T7,1.6625873713397925,2.1919465817880837,2.3217812335036503,1.6647069677015276,sub-010002,Eyes-Open,Lemon
C3,1.6824407675047652,2.3098477482247115,2.2972266996100235,1.4362201216842714,sub-010002,Eyes-Open,Lemon
Cz,1.6566351528947862,2.324546018959552,2.3198695569800356,1.5352126091014837,sub-010002,Eyes-Open,Lemon
C4,1.6607941893102587,2.4150741400721847,2.2796047129677675,1.372940691719527,sub-010002,Eyes-Open,Lemon
T8,1.6801355485031455,2.1916595459084607,2.3170915877228992,1.5288103473625856,sub-010002,Eyes-Open,Lemon
CP5,1.6780967658386001,2.316444509239889,2.294167936508927,1.4242668867085508,sub-010002,Eyes-Open,Lemon
CP1,1.6717254209073518,2.381256998424056,2.296665461084272,1.3864630778368408,sub-010002,Eyes-Open,Lemon
CP2,1.6599537596398046,2.394097992450333,2.30481173577934,1.4207965528153221,sub-010002,Eyes-Open,Lemon
CP6,1.6612061749996656,2.4383893714607705,2.2827164328009544,1.4180521630826313,sub-010002,Eyes-Open,Lemon
AFz,1.6761057685897645,2.324149742475903,2.3179139811857317,1.5716453918428168,sub-010002,Eyes-Open,Lemon
P7,1.6801501686668052,2.3715190716474814,2.309609538885797,1.5287022351067459,sub-010002,Eyes-Open,Lemon
P3,1.6688961429581148,2.406767076046146,2.2730531616536207,1.3697091957960577,sub-010002,Eyes-Open,Lemon
Pz,1.6583359211092037,2.4019639410382436,2.313374172470505,1.49226646419808,sub-010002,Eyes-Open,Lemon
P4,1.6639098944403425,2.4465343791640426,2.2931608076048238,1.4258057123699919,sub-010002,Eyes-Open,Lemon
P8,1.6626091178565314,2.4073200064127684,2.3080956740384684,1.5214984546337906,sub-010002,Eyes-Open,Lemon
PO9,1.662312909115578,2.375810377667182,2.317782643345028,1.6067742089878827,sub-010002,Eyes-Open,Lemon
O1,1.6591201713211898,2.437415633847507,2.3181982802339065,1.5958046441149143,sub-010002,Eyes-Open,Lemon
Oz,1.65173910714079,2.374690962505637,2.317281819744064,1.7696780948765087,sub-010002,Eyes-Open,Lemon
O2,1.6493017850492724,2.35317358771522,2.3180918155356487,1.760016626985971,sub-010002,Eyes-Open,Lemon
PO10,1.6458626771817162,2.180714867267686,2.3191049144975997,1.6449374461264765,sub-010002,Eyes-Open,Lemon
AF7,1.6910157170638591,1.9542260077412428,2.31829120508484,1.3134408986190007,sub-010002,Eyes-Open,Lemon
AF3,1.6965435333386227,2.1014965985955456,2.3204181137761175,1.4634455910128445,sub-010002,Eyes-Open,Lemon
AF4,1.6760131504627669,2.235467913806723,2.3204318050572676,1.5931222917316608,sub-010002,Eyes-Open,Lemon
AF8,1.6792942336896965,1.9883081673649696,2.316310370059276,1.3765657345201232,sub-010002,Eyes-Open,Lemon
F5,1.7044927066963234,1.9461539793725753,2.319452723171788,1.3030781854470963,sub-010002,Eyes-Open,Lemon
F1,1.68512106235315,2.263733727637801,2.321221966805452,1.5603541883489747,sub-010002,Eyes-Open,Lemon
F2,1.6771674330204043,2.3242244247974337,2.320615124654516,1.5680256359361873,sub-010002,Eyes-Open,Lemon
F6,1.6900384757033733,1.999542947123273,2.3196027481987125,1.3169197892672855,sub-010002,Eyes-Open,Lemon
FT7,1.6810911061178468,2.0587067533108447,2.321579255144341,1.5448642210565704,sub-010002,Eyes-Open,Lemon
FC3,1.6901030483820327,2.118458949624412,2.321226145419688,1.4639227607983833,sub-010002,Eyes-Open,Lemon
FC4,1.6812742725424497,2.2756108425169588,2.318058475827926,1.5039841201286306,sub-010002,Eyes-Open,Lemon
FT8,1.6616551161478397,2.185140042774952,2.321546310196627,1.621180218856155,sub-010002,Eyes-Open,Lemon
C5,1.6747384310736477,2.085969697086992,2.315527309129651,1.4155552995958152,sub-010002,Eyes-Open,Lemon
C1,1.6682814710966865,2.3346100278896103,2.3176374390997014,1.4829753696775407,sub-010002,Eyes-Open,Lemon
C2,1.669973929048305,2.357736017808839,2.315513917621752,1.4674278426197658,sub-010002,Eyes-Open,Lemon
C6,1.671568522623739,2.3553327163042574,2.3020198466832205,1.4986800907562576,sub-010002,Eyes-Open,Lemon
TP7,1.6718721018538447,2.2829445886928545,2.3155797155236755,1.5584131730326884,sub-010002,Eyes-Open,Lemon
CP3,1.6764341588002831,2.3878589353057174,2.265730987676283,1.3543884614370225,sub-010002,Eyes-Open,Lemon
CPz,1.6503211532025799,2.3376550569705454,2.316241281543799,1.478567698854844,sub-010002,Eyes-Open,Lemon
CP4,1.6574365142234742,2.42907626337443,2.267499809844986,1.3368306934333412,sub-010002,Eyes-Open,Lemon
TP8,1.6793235027021676,2.220308197105344,2.3166601350045415,1.5420521891148233,sub-010002,Eyes-Open,Lemon
P5,1.6688930492522842,2.4082981142007913,2.275490969102911,1.3956921906120696,sub-010002,Eyes-Open,Lemon
P1,1.6673410028658986,2.402878886650747,2.2877781133453547,1.3751376382535272,sub-010002,Eyes-Open,Lemon
P2,1.6603762484015923,2.423818209986801,2.3054829265568957,1.4563251220449,sub-010002,Eyes-Open,Lemon
P6,1.663297872621139,2.4097207837914754,2.307328781847454,1.516610705571444,sub-010002,Eyes-Open,Lemon
PO7,1.673122618081618,2.4431169190495483,2.3091138058587415,1.5276403544678399,sub-010002,Eyes-Open,Lemon
PO3,1.6620616491566218,2.441875333979313,2.3070497486437125,1.4731994546877811,sub-010002,Eyes-Open,Lemon
POz,1.6582067836418526,2.425253556506862,2.32062967954451,1.629104392537338,sub-010002,Eyes-Open,Lemon
PO4,1.6611125722260192,2.4199416450840587,2.3197523455257767,1.6182940865208344,sub-010002,Eyes-Open,Lemon
PO8,1.6547563212216354,2.345295718785217,2.3207972354543305,1.6666063041660053,sub-010002,Eyes-Open,Lemon
Fp1,1.5948167762619248,2.975129819303294,2.224290651554618,2.0272560517804203,sub-010003,Eyes-Closed,Lemon
Fp2,1.5958251611252152,2.963450589269579,2.225908784530783,2.03798569020352,sub-010003,Eyes-Closed,Lemon
F7,1.5833169011754513,2.9761473405923438,2.2436417374515343,2.134885827443549,sub-010003,Eyes-Closed,Lemon
F3,1.596659274127544,3.072938262220348,2.249426191758355,1.8119609032956732,sub-010003,Eyes-Closed,Lemon
Fz,1.6072791809406253,3.100974560821105,2.245409606154895,1.7350239155694367,sub-010003,Eyes-Closed,Lemon
F4,1.5928882087983927,3.0762225926276483,2.2513951412580107,1.7470518640854806,sub-010003,Eyes-Closed,Lemon
F8,1.5870794479486263,3.0502896335613325,2.24846053645929,1.9218838769400695,sub-010003,Eyes-Closed,Lemon
FC5,1.5931311422172314,2.9225612927303906,2.2700597490549272,1.9658244081219725,sub-010003,Eyes-Closed,Lemon
FC1,1.6082524158188076,3.0662155679209953,2.2585391821176466,1.7658873094114103,sub-010003,Eyes-Closed,Lemon
FC2,1.6058575764294853,3.0830923223954874,2.2611645247102836,1.7391890225440463,sub-010003,Eyes-Closed,Lemon
FC6,1.5925997211532885,3.036120018010305,2.268982567049716,1.8039189047584068,sub-010003,Eyes-Closed,Lemon
T7,1.5717566001455956,2.9486899797327286,2.2783602783327606,1.9205643325770703,sub-010003,Eyes-Closed,Lemon
C3,1.60826263806122,3.0689650492139675,2.2431638656388504,1.7785364257069314,sub-010003,Eyes-Closed,Lemon
Cz,1.5746029451080084,3.121179805449004,2.2452135164012548,1.8028050365700856,sub-010003,Eyes-Closed,Lemon
C4,1.603506742413819,3.113645023836633,2.255592281933512,1.7473810490410921,sub-010003,Eyes-Closed,Lemon
T8,1.591180298505038,3.014221973120345,2.286815552193941,1.8316003465127866,sub-010003,Eyes-Closed,Lemon
CP5,1.590493928003936,3.0651038475123236,2.2544799295526117,1.747053484891468,sub-010003,Eyes-Closed,Lemon
CP1,1.5597397223130622,3.178550643747225,2.236058663059983,1.736169633199617,sub-010003,Eyes-Closed,Lemon
CP2,1.572591350929962,3.1825010960717135,2.235411048466474,1.743778240355242,sub-010003,Eyes-Closed,Lemon
CP6,1.5874580433135823,3.0398485879898285,2.2724043874956004,1.7970250685324745,sub-010003,Eyes-Closed,Lemon
AFz,1.599009509165116,3.0754022876606926,2.2325389307814443,1.8533614062876742,sub-010003,Eyes-Closed,Lemon
P7,1.6139888345146343,3.0356668708655974,2.255834632092877,1.803271095494288,sub-010003,Eyes-Closed,Lemon
P3,1.6084173537913067,3.143931226672496,2.2482193221965074,1.5646276883287438,sub-010003,Eyes-Closed,Lemon
Pz,1.5835639146104674,3.121439304760104,2.2599734513184515,1.5885531090147167,sub-010003,Eyes-Closed,Lemon
P4,1.5948218652972692,3.151624191952085,2.24922168608524,1.6094139430390826,sub-010003,Eyes-Closed,Lemon
P8,1.5874788305080094,3.1225414390316457,2.250614639316583,1.7443537475795754,sub-010003,Eyes-Closed,Lemon
PO9,1.6306412166404771,2.7607801266848986,2.2632797512249243,2.1542857520833323,sub-010003,Eyes-Closed,Lemon
O1,1.647095590377428,2.9422666750092192,2.2315136374785656,1.7664451926802613,sub-010003,Eyes-Closed,Lemon
Oz,1.6454527854936107,3.0247863238402717,2.226821897823589,1.601658781645474,sub-010003,Eyes-Closed,Lemon
O2,1.6442470232336834,3.029178139592612,2.2228029502688336,1.5770517231452197,sub-010003,Eyes-Closed,Lemon
PO10,1.6193290876469515,2.7436293059882653,2.2642592863581776,2.1748142260798615,sub-010003,Eyes-Closed,Lemon
AF7,1.5906453480692888,3.0430465762861223,2.23328443471007,1.9620565167069246,sub-010003,Eyes-Closed,Lemon
AF3,1.59366359344222,3.0874434732347065,2.2318778900845633,1.8324332603453042,sub-010003,Eyes-Closed,Lemon
AF4,1.5986557791128437,3.087120471199464,2.233096927213303,1.8109392879148205,sub-010003,Eyes-Closed,Lemon
AF8,1.5880057619720145,3.0073707536325722,2.23647369005073,1.958832300911268,sub-010003,Eyes-Closed,Lemon
F5,1.5965046155028877,3.04128002648533,2.246574272765741,1.9256446256072184,sub-010003,Eyes-Closed,Lemon
F1,1.6044971354292685,3.077063725256284,2.250064606985313,1.7801271791588815,sub-010003,Eyes-Closed,Lemon
F2,1.5992765526986006,3.090909270108046,2.249118805029995,1.7174292963389477,sub-010003,Eyes-Closed,Lemon
F6,1.5957116294294926,3.0606130860720304,2.2516564099742555,1.8125822760031869,sub-010003,Eyes-Closed,Lemon
FT7,1.5724695214749274,2.928474305445988,2.2617752789229906,2.0750476570168224,sub-010003,Eyes-Closed,Lemon
FC3,1.6175203848838073,3.0152466945212786,2.2650529573681797,1.78666103979324,sub-010003,Eyes-Closed,Lemon
FC4,1.6033355582738755,3.0673835237621705,2.2664460044027765,1.7179184898065465,sub-010003,Eyes-Closed,Lemon
FT8,1.5887765182271978,3.0213711015435227,2.2641249142078674,1.9246956071235528,sub-010003,Eyes-Closed,Lemon
C5,1.6172069675389433,2.5575934282391515,2.281283916044437,2.0306295769754446,sub-010003,Eyes-Closed,Lemon
C1,1.5811835968987151,3.118081616426634,2.247568186339537,1.781666786543483,sub-010003,Eyes-Closed,Lemon
C2,1.587784230303833,3.1471019308374926,2.2471371525248576,1.7546785600089294,sub-010003,Eyes-Closed,Lemon
C6,1.5940764982281803,3.011841500610314,2.284512742225478,1.759522604322543,sub-010003,Eyes-Closed,Lemon
TP7,1.5803050218248744,2.910689132393916,2.284807686906811,1.908366867816852,sub-010003,Eyes-Closed,Lemon
CP3,1.5952567900283174,3.152021626339163,2.2375662402457537,1.7135764976393213,sub-010003,Eyes-Closed,Lemon
CPz,1.5578668846342645,3.1733715473732746,2.23835672915444,1.747485310921949,sub-010003,Eyes-Closed,Lemon
CP4,1.5878670046305619,3.1536433458751567,2.2416118872326543,1.7566972204646807,sub-010003,Eyes-Closed,Lemon
TP8,1.5831978239028301,2.998631173424399,2.2940013036404023,1.792170462251844,sub-010003,Eyes-Closed,Lemon
P5,1.6184252735099007,3.1216203391667117,2.244902338717184,1.5997897064132023,sub-010003,Eyes-Closed,Lemon
P1,1.5834645697125835,3.1384471863506933,2.2542381047836564,1.5878741353420418,sub-010003,Eyes-Closed,Lemon
P2,1.5921783132253637,3.1415461835015788,2.254609865669247,1.6153174380129278,sub-010003,Eyes-Closed,Lemon
P6,1.5986883023019296,3.1331345108362254,2.244519666723134,1.635538318178963,sub-010003,Eyes-Closed,Lemon
PO7,1.6366339837303663,3.0350041463454067,2.2375839079502144,1.7182034582680665,sub-010003,Eyes-Closed,Lemon
PO3,1.6406177612379351,3.072411522289922,2.215648446943326,1.4369439285478764,sub-010003,Eyes-Closed,Lemon
POz,1.6382615391237663,3.0522143052291186,2.228165269784228,1.4181887508283408,sub-010003,Eyes-Closed,Lemon
PO4,1.6327731487898614,3.0691429118330698,2.218039509815176,1.4098460978205076,sub-010003,Eyes-Closed,Lemon
PO8,1.6210173952648863,3.086231607577469,2.231787415969679,1.6364466085353906,sub-010003,Eyes-Closed,Lemon
Fp1,1.5741610659822296,2.494177172645283,2.2788959625919034,2.165640545391608,sub-010003,Eyes-Open,Lemon
Fp2,1.5808841224630217,2.6154969398986747,2.2753202436623745,2.1914004014258346,sub-010003,Eyes-Open,Lemon
F7,1.5875357289017162,2.7160007798398755,2.2757967382842867,2.232584507777481,sub-010003,Eyes-Open,Lemon
F3,1.559545538884357,2.7017405697887718,2.292077465814169,1.973623230089502,sub-010003,Eyes-Open,Lemon
Fz,1.576629972535439,2.7238838826959886,2.29799237625237,1.9374824086110904,sub-010003,Eyes-Open,Lemon
F4,1.582187175657853,2.6537486189556203,2.3022744271973847,1.9801593228530854,sub-010003,Eyes-Open,Lemon
F8,1.5813852670974986,2.6961443528252684,2.2780928138105176,2.285975047172429,sub-010003,Eyes-Open,Lemon
FC5,1.577546438185541,2.793676392988968,2.2899737181182767,1.9582418705782778,sub-010003,Eyes-Open,Lemon
FC1,1.590100744480556,2.7783497423826082,2.3000602001525428,1.8838506754136122,sub-010003,Eyes-Open,Lemon
FC2,1.5904566809218936,2.7592208516079606,2.30031628145241,1.8979509539961565,sub-010003,Eyes-Open,Lemon
FC6,1.5928320715350137,2.759075542585829,2.2931748257615663,2.044402825653682,sub-010003,Eyes-Open,Lemon
T7,1.6230812928414537,2.0437061973355064,2.3102175585179263,1.9034046370396016,sub-010003,Eyes-Open,Lemon
C3,1.5844642117731635,2.893957436929043,2.2639094229242103,1.7449581249137913,sub-010003,Eyes-Open,Lemon
Cz,1.581104444855371,2.836472631790457,2.282223280200668,1.9272620611690081,sub-010003,Eyes-Open,Lemon
C4,1.6036858683276218,2.916571809186774,2.255154574928372,1.7204537402544529,sub-010003,Eyes-Open,Lemon
T8,1.59357985559231,2.8001340679469027,2.3006495240277935,1.9265357290049814,sub-010003,Eyes-Open,Lemon
CP5,1.57593302096071,2.847600342346638,2.289910063717523,1.7735087696199847,sub-010003,Eyes-Open,Lemon
CP1,1.5744807108845014,2.9205023186630585,2.26388473568799,1.8357125504123477,sub-010003,Eyes-Open,Lemon
CP2,1.5830055285195908,2.9898401304293065,2.255222302658236,1.7352521295180952,sub-010003,Eyes-Open,Lemon
CP6,1.5945085374102286,2.807035737471548,2.297634704482925,1.7649165592099567,sub-010003,Eyes-Open,Lemon
AFz,1.5726100756905539,2.643664324474684,2.285645394129419,2.089145660801401,sub-010003,Eyes-Open,Lemon
P7,1.605293012679128,2.672819257104459,2.3062802396099604,1.8898888424880476,sub-010003,Eyes-Open,Lemon
P3,1.5699439706600475,2.832796960158571,2.289290981435289,1.8426539596079812,sub-010003,Eyes-Open,Lemon
Pz,1.5757082229962376,2.9258804930287,2.290149055930552,1.8249648389955915,sub-010003,Eyes-Open,Lemon
P4,1.5725248662277735,2.9240208388127966,2.2847914780912864,1.7336371010138627,sub-010003,Eyes-Open,Lemon
P8,1.5901615951008692,2.746815487110021,2.296231500757287,1.9059622947237664,sub-010003,Eyes-Open,Lemon
PO9,1.6467131799451542,2.2629641679031742,2.310003964052386,1.926296452379873,sub-010003,Eyes-Open,Lemon
O1,1.6360279413010228,2.3757831178455726,2.312129544267576,1.9920918294693166,sub-010003,Eyes-Open,Lemon
Oz,1.622452427401436,2.5360624232069426,2.30652681659393,2.100785032732982,sub-010003,Eyes-Open,Lemon
O2,1.616253748919938,2.5770877915217234,2.3048491677724847,2.0091819780625313,sub-010003,Eyes-Open,Lemon
PO10,1.6256136655264604,2.3573565381725037,2.306029265083887,2.0030772595128323,sub-010003,Eyes-Open,Lemon
AF7,1.5911580180468257,2.4364571107909767,2.282572778679062,2.235054590482851,sub-010003,Eyes-Open,Lemon
AF3,1.5588473563793692,2.682197676309915,2.2828937837651115,2.0376911476250354,sub-010003,Eyes-Open,Lemon
AF4,1.5755991225463903,2.6560716228402064,2.288082978307525,2.0628835467608226,sub-010003,Eyes-Open,Lemon
AF8,1.5827821691675523,2.5305832817179397,2.2784176380521366,2.270475376596841,sub-010003,Eyes-Open,Lemon
F5,1.5669261248240247,2.626106706848166,2.284848336270533,2.0910793236688785,sub-010003,Eyes-Open,Lemon
F1,1.5713684481064827,2.7395439724280863,2.2973763923129003,1.9365114421625662,sub-010003,Eyes-Open,Lemon
F2,1.5776525402582195,2.695846380528649,2.3014657394553923,1.934269864422265,sub-010003,Eyes-Open,Lemon
F6,1.5828524764729768,2.667404557983246,2.2934876947632965,2.1074264744237547,sub-010003,Eyes-Open,Lemon
FT7,1.5941361654665847,2.7628633330879695,2.288539817634307,2.0884558717341313,sub-010003,Eyes-Open,Lemon
FC3,1.5874253997430525,2.823661416876701,2.291816777046519,1.812318672905193,sub-010003,Eyes-Open,Lemon
FC4,1.594797167921761,2.7671772814990594,2.2962866117913294,1.8959657137659134,sub-010003,Eyes-Open,Lemon
FT8,1.586625730222887,2.7686282599011265,2.284875911504604,2.1636925620946212,sub-010003,Eyes-Open,Lemon
C5,1.594147394494223,2.631667220725861,2.291965395203008,1.9701446518350243,sub-010003,Eyes-Open,Lemon
C1,1.579403898505352,2.8578732360774506,2.283373940309129,1.8762733398724578,sub-010003,Eyes-Open,Lemon
C2,1.6024441670644014,2.9338222555996083,2.2665031163341203,1.794663645736427,sub-010003,Eyes-Open,Lemon
C6,1.5993240069565664,2.7951548093928906,2.298115641748056,1.834338780132392,sub-010003,Eyes-Open,Lemon
TP7,1.5808847370041859,2.7829148366537257,2.305084640069837,1.8286644634363982,sub-010003,Eyes-Open,Lemon
CP3,1.566156775910501,2.9161491546148133,2.2637398577943166,1.7561945712790852,sub-010003,Eyes-Open,Lemon
CPz,1.5763846400756285,2.924959944440248,2.265764411720162,1.8631228528936066,sub-010003,Eyes-Open,Lemon
CP4,1.584815418514194,2.946723171750433,2.2614535614403004,1.7050998179747154,sub-010003,Eyes-Open,Lemon
TP8,1.5951698348799208,2.7720462308192477,2.3079307649070797,1.8480479292720862,sub-010003,Eyes-Open,Lemon
P5,1.5877044484308898,2.7664002366886593,2.299004308722619,1.8550292732467948,sub-010003,Eyes-Open,Lemon
P1,1.5711499236926554,2.8962979993223272,2.2862614338814176,1.8414709189358063,sub-010003,Eyes-Open,Lemon
P2,1.5746562511853832,2.945261119036957,2.285108023194654,1.7526916919184936,sub-010003,Eyes-Open,Lemon
P6,1.5810231676411606,2.8417445537669828,2.291671611067189,1.7818696008125,sub-010003,Eyes-Open,Lemon
PO7,1.6292166742844703,2.5045967363878043,2.3079801633981205,1.9504150888645237,sub-010003,Eyes-Open,Lemon
PO3,1.603028576333662,2.69909860478456,2.3056019891810684,1.954478917861218,sub-010003,Eyes-Open,Lemon
